x,Module,Blockers,AI Comments ,LogiNext Comments
Milestone 1,Settings - Help - Product Tour,"17: Need a solution from Vishwanath side in the existing API to manage the product tour progress calculation.
",Need fixes from Vishwanath regarding the 100% calculation in the product tour api.,
Milestone 1,Settings - Help - What's New,"18: Need clarification from client side to customize the html data of tags.
18.1.How you are showing  for this module?",Harsh will find the solution on his side. - Resolved,
Milestone 1,Settings - Help - Explore,19: Need clarification from client side to customize the html data of tags.,Harsh will find the solution on his side. - Resolved,
Milestone 1,Chats and Comments/Inbox,"20: Need Location sharing payload from the Vishwanath ?
21: Need S3 credentials ? Also need solution to display the image preview in app.
22: Is the user has the functionality to add the broadcast group name as per the choice? If Yes than no such element is available in the design?
23: Is this the correct flow if any user sends the message in the broadcast group chat then the message will also be received by the user in the individual chat same as shown on the web?
24: Top user can also remove selected Recipients by tapping on the cross icon (Not available in the Figma design)
","20:Got the location sharing payload.-Resolved
For the mentioned chat pointer s3 CREDE team will connect Akshay.- Resolved 
-",
Milestone 1,Order List View - Sort,"25: No design screen is available in the Figma of this functionality.Currently implemented sort screen design in the share application is correct or not ?
",25:On demo Kanishk has verified the current screen design is fine.,
Milestone 1,Order List View - Help - Related Articles,26: Is the Related article functionality which comes under the settings portal are same or not?,Need to confirm with Vishwanath how the article data is showing differently on different accounts.-Resolved-Harsh will implement  it in the app.,
Milestone 1,Order List View - Assign Now - Auto-Assign to Carrier,"27: Some issues are encountered from the server, the wrong toast message is showing while trying to auto-assign the  order to carrier.",Harsh will implement the checks for order status.,
Milestone 1,Order List View - Assign Now - Auto-Assign to Trips,28: Blank Black toast is showing while trying to auto-assign the trips.,AI Team will be mapping the flow again & share the status with the LogiNext team if there is any query.,
Milestone 1,Order List View - Alarms,29: Logic of the alarm configuration needed to be discussed with the Kanishk. From where alarm configuration is managed from the backend not found in the dispatcher portal please guide us.,AI Team will mapping this flow & share the status with the LogiNext team if there is any issues occur.,
Milestone 1,Order List View - Notes,30: Need to understand the flow from when the note is added from the backend.,User is able to add the notes from the Add order & the Update order screen.,
Milestone 1,Order List View - Update Status,31: Reason api is not working.Pending from the client side. (Vishwanath).Update status is also not working on web.,Api Fixes pending from the LogiNext team.Vishwanath ,
Milestone 1,Order List View - Override Status,"32: Bad request  & Failed order toast message is showing when updating the override status.
33: Reason field is not showing when selecting other options. Need design where will we open the reason input field in case of the other option.  
",Team will implement the checks for order status.- Resolved,
Milestone 1,Order List View - Optimize Packing,"34: Need to confirmation on for what order type status the optimized packaging will work because as per previous discussion, Kanishk convey that this option is available to work for all order statuses but I have checked on the web this functionality is not working for all order statuses.",Team will implement the checks for order status.Toast message need to be updated from the Vishwanath,
Milestone 1,Order List View - Print AWB,35: Not getting expected outcome from the code which is shared from the client side.,We have to check if we can attach the external printer to app. ,
Milestone 1,Order List View - Raise Exceptions,"36: After raised the exceptions for the not dispatcher order status the updated order record is not showing in the All raise exceptions listing.
37: Also need to verify that the raise exception is worked for all types of orders or some specific order type.
",Raise exception option will work for all types of orders.,
, Splash Screen,38: Need Splash Screen,LogiNext team will provide the Splash screen.-Received - Team will implemented this screen in the application.,
Milestone 1,Download report,39: Need to discuss with vishwanath about the listener,,
,,,,
,,,,
,,,,
,,,,
Milestone 1,DropDown:- What can be done on forms to not to hit api when every dropdown is pressed or fetch all api's at once,"Add Order, Bulk Update, Filter (For better user experience and app performance need a solution to avoid calling separate api's for all dropdowns)","Solutions :- Can send the data along with the form api.
Single api for all dropdowns in one form
Vishwanath",
,,,,
Milestone 1 ,Framework and buttons api for each segment,Currently we have to hit this api for each and every segments to get framework even if we store the data after receiving the data one there are many cases in this as the columns are configurable from web so they can change and we can't make this fix by storing the data so we need to fetch this api again and again.,"Solutions :- We can get all the buttons and more options in single config file instead of merging the options from orders framework api. 
To get the columns we can fetch all options by sending the selected segment in filter screen and show a loader there instead.Vishwanath",
,,,,
Milestone 1,Language selection,Restart app on choose language on first time onboarding,"Solutions :- We can keep english or device language as default language at first.
Vishwanath",
,,,,
Milestone 1 ,Labels,Getting label_ids on every screen and calling the api on every screen and fetching response of that is causing lagging,Solutions :- We can call all labels at once as a master data and keep in store at once so we can ignore calling same api's again and again Vishwanath,
,,,,
Milestone 1,Chat,"- Need design to enter the brodcast group name at the time of creating a new chat group.
- Remove member from broadcaste group.",Maanvi ,Maanvi: amit.singh@appinventiv.com harsh.rathore@appinventiv.com nitin.sharma1@appinventiv.comAdded the designs under > Chat Screens - 24Aug
,,,,
,,,,
milestone 2,exception(order details),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,"
",,
,,,,
,,,,
milestone2,form data,Need an idea that how to add custom form on web portal and assign it to carrier so that i can able to see the api response ! as on previous call with kanishk.j@loginextsolutions.com sir it is confusing a little bit ,kanishk.j@loginextsolutions.com,
