Reported Date,Platform,Description,Status,,Summary,Count - 21 Sept 2022
Aug 29,Admin,"Mozilla Firefox:V-Guard>V-Guard Products, Both Horizontal and Vertical scroll bar changes colour to red when clicked and hold.",Done,,,
Aug 29,Admin,"Mozilla Firefox:V-Guard>V-Guard Customer Requests> Search by Name, Phone… search box is a bit faded.",Done,,,
Aug 29,Admin,Safari: V-Guard>Product Management>Add New buttton and Download CSV is not aligned properly,Done,,,
Aug 29,Admin,"Safari: V-Guard>Registered Products>Start Date and End Date, Download CSV is not aligned properly",Done,,,
Aug 29,Admin,Safari: V-Guard>Notifications>Notification Management Add New Button is not aligned properly.,Done,,,
Aug 29,Admin,V-Guard>Dashboard>Graph is missing according to Wireframe in Dashboard,In Progress,,,
Aug 29,Android,Edit>Profile image>Image taking time to upload,In Progress,,,
Aug 29,iOS,Edit Profile Picture>Getting error from AWS,In Progress,,,
Aug 30,Admin,V-Guard>Admin Management>Edit of any existing sub admin it is showing error stating Category0.active is not allowed.,Done,,,
Aug 31,Android and iOS,Enhancement - Product nickname should not be same ,In Progress,,,
Sept 1,Admin,"V-Guard>User Management.
Filter for all products is not being refreshed after selecting any filter then coming back from dashboard on User Management Screen same is happening with V-Guard products screen also.
",Done,,,
Sept 1,Admin,"V-Guard>Dashboard>Products Added Graph.
Graph is not showing similar text while hovering over the data First letter of Product needs to be in Upper Case as it is shown below in graph.",Done,,,
Sept 5,Admin,"V-Guard>V-Guard Products>Add New>Proceed.
There’s a spelling error in Proceed it is showing procced.",Done,,,
Sept 5,Admin,"V-Guard>Registered Products>Download CSV.
Error stating cannot read property ‘name’ of undefined is  showing while we clicking on Download CSV option.",Done,,,
,,,,,,
Sept 6,Android,Enhancement- Need to add image cropper ,In Progress,,,
Sept 6,Android,"1 coach mark , circle size is too big",In Progress,,,
Sept 6,Android,Image is blur in 2nd coach mark,In Progress,,,
Sept 6,Android,Pump>Status screen>Wave animation is too fast,Done,,,
Sept 6,Android,Pump>Status screen>Alignment issue in OFF and toggle button,Done,,,
Sept 6,Android,Pump>Status screen>show some gap between setting and Water pump or BLE/WIFI and auto fill text like figma,Done,,,
Sept 6,Android,"Pump>After OFF the pump button from app, it still showing ON",In Progress,,,
Sept 6,Android,Pump>Need to do auto fill option same as existing app - Enhancement,In Progress,,,
Sept 6,Android,Pump>Edit>Edit Product Nickname,Done,,,
Sept 6,Android,Listing should be come related to scanned products only - Enhancement,In Progress,,,
Sept 6,Android,Pump>Float stuck error is not displaying ,In Progress,,,
Sept 6,Android,Pump>Sensor disconnected error is not displaying,Done,,,
Sept 6,Android,Pump>Light mode>water tank colour is diff as per figma,Done,,,
Sept 6,Android,Pump>Light mode>Holiday mode pop up image ,Done,,,
Sept 6,Android,Pump>Smart screen>Change icon as per figma ,Done,,,
Sept 6,Android,Pump>Smart screen>Pump auto settings>it should be max instead of min,Done,,,
Sept 6,Android,Pump>Smart screen>Smart setting>i icon and info pop up is missing ,Done,,,
Sept 6,Android,Pump>smart screen>smart setting>holiday mode,Done,,,
Sept 6,Android,Pump>Graph>make text more visible in both modes ,Done,,,
Sept 6,Android,Pump>Graph>Don't show no chart available ,Done,,,
Sept 7,Android,Pump>Status and smart screen glitch issue ,Done,,,
Sept 7,Android,Pump>Scheduler>Toggle button is not there,Done,,,
Sept 7,Android,Pump>Scheduler>Edit/Create>Alignment issues ,Done,,,
Sept 7,Android,Pump>Scheduler>Edit/Create>Change text,Done,,,
Sept 7,Android,Pump>Voice is not coming from WIFI Connectivity in app,Done,,,
Sept 7,Android,Pimp>Scheduler>Light mode>Icon and colour need to change ,Done,,,
Sept 7,Android,Pump>Scheduler>validation is missing in repeat checkbox,Done,,,
Sept 7,Android,Pump>Scheduler>Create>Validation for time need to change,Done,,,
Sept 7,Android,Pump>Smart screen>Garden mode text to be changed as per expecting app,Done,,,
Sept 7,Android,Pump>Smart screen>Holiday mode>Edit option is not working for editing the dates,Done,,,
Sept 7,Android,Pump>Smart screen>Holiday mode>Pop up alert is not coming for disable the mode,Done,,,
Sept 7,Android,Pump>Scheduler>Delete schedule>Pop up msg need to change ,Done,,,
Sept 8 ,Android,Pump>Auto fill mode should be enabled when we change mode from pump auto setting screen ,Done,,,
Sept 8 ,Android,Pump>Auto fill mode>Need to add cancel button with OK button in disable alert,Done,,,
Sept 8 ,Android,Pump>Schedule>Edit or Add>Make checkbox and text only clickable ,Done,,,
Sept 8 ,Android,Pump>Auto fill is not getting disabled,Done,,,
Sept 8 ,Android,Pump>Values of Max and Min level of water is not as per their existing app in WiFi,Done,,,
Sept 9 ,Android,Pump>Need to remove validation alert for water level ,Done,,,
Sept 9 ,Android,Pump>Autofill>Takes time to shown toggle off when disable ,Done,,,
Sept 9 ,Android,Pump>Schedule>Create>Pop msg need to change after created scheduler,Done,,,
Sept 9 ,Android,Pump>Create schedule>Select time>Validation alert is wrong,Done,,,
Sept 9 ,Android,"Discussion - Pump>Create schedule>As per our discussion on call, if we select - Repeat all days, all the days Should be automatically selected ",,,,
Sept 9 ,Android,Voice>Need to do same as per existing app - Enhancement,Done,,,
Sept 9 ,Android,Pump>Graph>Need to change colour for value shown in graph in dark mode and values are over ride with line of graph,Done,,,
Sept 13,Android,"Fan>After adding fan, User should redirect to My device screen and listing should get updated",Reopen,,,
Sept 13,Android,Fan>Back button is not working,Reopen,,,
Sept 13,Android,Fan>Title is missing from password screen ,Done,,,
Sept 13,Android,Fan>Need to show asterick on both password and confirm password fields,Done,,,
Sept 13,Android,Fan>Need to change toggle colour when we enable show password,Done,,,
Sept 13,Android,Fan>Need to show validation alert for password and confirm password ,Reopen,,,
Sept 13,Android,"Fan>Remove toast msg from screen like - connecting, as we are not showing in any other products ",Done,,,
Sept 13,Android,Fan>Available fans>Product name is over riding,Done,,,
Sept 13,Android,Fan>Available fans>Make background colour of screen only black ,Done,,,
Sept 13,Android,Fan>Remove margin from Refresh button on both sides,Done,,,
Sept 13,Android,Fan>After connect with fan>It should show background available fan screen not blank screen behind loader,Done,,,
Sept 13,Android,Fan>On clicking Refresh button need to show loader,Done,,,
Sept 13,Android,Fan>Select product from fan list>Show nickname instead of Imagina fan with normal font as per figma,Done,,,
Sept 14,Android,Speed numbers are merging with fan image,Done,,,
Sept 14,Android,Fan timer plus and minus signs are looks very bold as per figma,Done,,,
Sept 14,Android,Speed slider is also looks very thick as per figma,Done,,,
Sept 14,Android,"Patch image should be as per figma , there is much gap in our app",Done,,,
Sept 14,Android,"LED>Icons for flash , fade and rhytm is not as per figma",Done,,,
Sept 14,Android,LED>Speed slider is also looks very thick as per figma,Done,,,
Sept 14,Android,"LED>Patch image should be as per figma , there is much gap in our app",Done,,,
Sept 14,Android,LED>LED should be place on right as per figma,Done,,,
Sept 14,Android,Fan>Make full card clickable on fan list ,Done,,,
Sept 14,Android,Pump>BLE/WIFI should be blue when its connected,In Progress,,,
Sept 14,Android,Pump>Sometimes there is delay in updating the app functions ,Done,,,
Sept 14,Android,Pump>App is getting crashed>While ON/OFF pump multiple times then go to pump usage,Done,,,
Sept 14,Android,Pump>Usage>Water consumption>Sep's p is cropping from right,Done,,,
Sept 14,Android,Pump>Sometimes app is working as a dummy app,In Progress,,,
Sept 15,Android,Fan>Remove processing toast from available fan,Done,,,
Sept 15,Android,Fan>App is getting crashed while pairing the fan ,Done,,,
Sept 15,Android,Fan>Fan list >need to show Attention button with icon ,Done,,,
Sept 15,Android,Fan>While refresh the screen loader is still displaying while retry popup is there,Done,,,
Sept 15,Android,"Fan>Dont show refreshing list toast while refreshing, instead of this use loader ",Done,,,
Sept 15,Android,Fan>Fan list>Pairing>Need to show loader process as per existing app ,Reopen,,,
Sept 15,Android,"Fan>Loader is displaying infinitely even after data is there on screen , need to kill app",In Progress,,,
Sept 15,Android,Fan>In available Fan listing we need to show product nick name not by default Imagina,In Progress,,,
Sept 15,Android,"Fan>Fan list same loader should display until data load, Currently loader stops and starts again",In Progress,,,
Sept 15,Android,Fan>Not able to connect with fan>Association failed error is coming,Done,,,
Sept 15,Android,Fan>There should be some gap in between alert for password and confirm password user input,Done,,,
Sept 16,Android,Fan>App is getting crashed on go to dashboard click,Done,,,
Sept 16,Android,Fan>Click on i mode >Continuously toast msgs coming on screen,Done,,,
Sept 16,Android,Need to show autofill for OTP,Enhancement,,,
Sept 16,Android,Fan>Need to add coachmarks ,In Progress,,,
Sept 16,Android,Fan>Fan Timer>circle is missing in light mode from + and - signs,Done,,,
Sept 16,Android,Fan>Light mode>Need to change fan image colour as per figma,Done,,,
Sept 20,Android,Fan>Fan and Led screen>Need to Change alignment of intensity slider as per zeplin,Done,,,
Sept 20,Android,"Fan>Need to change the colour of slider in intensity, as its not properly visible in dark mode",Done,,,
Sept 20,Android,Fan>Remove black colour from LED,In Progress,,,
Sept 20,Android,Fan>Alert is missing if speed is 0 and we are trying to ON fan,Done,,,
Sept 20,Android,Fan>Fetching previous data is missing,In Progress,,,
Sept 21,Android,Non solar inverter>Configure page>Show red alert message,In Progress,,,
Sept 21,Android,Solar Inverter>App is getting crashed after connect from WIFI,In Progress,,,
Sept 21,Android,"Fan>Home>My Devices> Fan > Selecting our fan.
After selecting our fan LED is by default turned on, on that screen.",In Progress,,,
Sept 21,Android,"Home>My Devices>Fan>Selecting our fan>Refresh
After clicking on Refresh loader is rotating very fast unlike other loaders.",Done,,,
Sept 21,Android,"Home>My Devices>Fan >Refresh.
While tapping on refresh the loader is rotating on the same screen instead background screen should be little blurred and loader should be in focus.",Done,,,
Sept 21,Android,"Inverter>Status screen>Screen goes blank , we should show single loader ",In Progress,,,
Sept 22,Android,"Fan>Mood Mode functionality of Rhythm, Fade and Flash is not as per Existing app.",Done,,,
Sept 23,Android,Fan>LED toggle is off by default and if we are adjusting intensity then also LED toggle is off so it should turn on,Done,,,
Sept 28,Android,"Fan>Fan Group, By tapping on All Fans, App is getting crashed.",Done,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
Sept 21,Android,,,,,
